Data,flow_A,flow_B,flow_C,flow_D,flow_E,woff_A,woff_B,woff_C,woff_D,woff_E,aum_A,aum_B,aum_C,aum_D,aum_E
2020-03-25,-265972.703031,-180312.784958,-326953.832000,10773.657876,758198.064797,0.846382,0.681320,0.483460,0.284009,0.103891,19766.180000,25046.000000,58528.860000,30724.190000,36626.770000
2020-03-26,-240201.493191,-180231.617324,-361936.332776,1135.629853,752309.777999,0.846382,0.681320,0.483460,0.284009,0.103891,19766.180000,25046.000000,58528.860000,30724.190000,36626.770000
2020-03-30,353217.678904,87127.880753,-562978.707577,-48027.354004,142029.702841,0.846382,0.681320,0.483460,0.284009,0.103891,19766.180000,25046.000000,58528.860000,30724.190000,36626.770000
2020-03-31,401720.180011,154485.160207,-172377.755041,129264.786549,-517352.044514,0.846382,0.681320,0.483460,0.284009,0.103891,19766.180000,25046.000000,58528.860000,30724.190000,36626.770000
2020-04-01,182571.955394,-27383.576351,-101780.630118,-27392.303393,-23071.775488,0.826056,0.668788,0.478077,0.286994,0.086628,25196.730000,28603.170000,65763.640000,33228.030000,33123.470000
2020-04-02,34252.004107,-15764.990784,-82257.749034,-6874.999317,64132.354684,0.826056,0.668788,0.478077,0.286994,0.086628,25196.730000,28603.170000,65763.640000,33228.030000,33123.470000
2020-04-06,-34181.943450,-64822.152200,-189784.992098,-16744.362675,298051.913836,0.826056,0.668788,0.478077,0.286994,0.086628,25196.730000,28603.170000,65763.640000,33228.030000,33123.470000
2020-04-07,758761.111374,290594.459442,514504.023350,-16202.332390,-1547627.401196,0.826056,0.668788,0.478077,0.286994,0.086628,25196.730000,28603.170000,65763.640000,33228.030000,33123.470000
2020-04-08,647674.463646,277279.518465,493525.065242,-15034.126598,-1368269.518906,0.826056,0.668788,0.478077,0.286994,0.086628,25196.730000,28603.170000,65763.640000,33228.030000,33123.470000
2020-04-13,773918.250699,325720.723138,549824.830257,-58052.013332,-1579766.806819,0.826056,0.668788,0.478077,0.286994,0.086628,25196.730000,28603.170000,65763.640000,33228.030000,33123.470000
2020-04-14,76137.109669,52630.543545,64434.782047,-35334.009402,-61945.010993,0.826056,0.668788,0.478077,0.286994,0.086628,25196.730000,28603.170000,65763.640000,33228.030000,33123.470000
2020-04-15,46290.495041,52282.407193,71247.129940,3903.507904,26442.423028,0.826056,0.668788,0.478077,0.286994,0.086628,25196.730000,28603.170000,65763.640000,33228.030000,33123.470000
2020-04-16,37468.451967,12509.438513,16985.506132,-2706.164399,-38493.153834,0.826056,0.668788,0.478077,0.286994,0.086628,25196.730000,28603.170000,65763.640000,33228.030000,33123.470000
2020-04-20,116396.851074,45185.377015,121652.241937,-8879.605633,-259559.313770,0.826056,0.668788,0.478077,0.286994,0.086628,25196.730000,28603.170000,65763.640000,33228.030000,33123.470000
2020-04-21,97089.122306,32470.301180,60389.229710,-7777.470098,-178327.993217,0.826056,0.668788,0.478077,0.286994,0.086628,25196.730000,28603.170000,65763.640000,33228.030000,33123.470000
2020-04-22,47022.470398,13805.515403,40636.531670,-7474.616094,-94299.944406,0.826056,0.668788,0.478077,0.286994,0.086628,25196.730000,28603.170000,65763.640000,33228.030000,33123.470000
2020-04-23,44310.980356,14362.087407,41674.024453,-1275.961403,-96068.752090,0.826056,0.668788,0.478077,0.286994,0.086628,25196.730000,28603.170000,65763.640000,33228.030000,33123.470000
2020-04-27,-39319.293394,-54343.379962,4023.883974,-124.300560,90346.800633,0.826056,0.668788,0.478077,0.286994,0.086628,25196.730000,28603.170000,65763.640000,33228.030000,33123.470000
2020-04-28,4085.268613,-2382.176148,-3146.822356,-912.517202,738.551938,0.826056,0.668788,0.478077,0.286994,0.086628,25196.730000,28603.170000,65763.640000,33228.030000,33123.470000
2020-04-29,51356.324533,6550.651462,1542.119633,1559.843401,-32321.899067,0.826056,0.668788,0.478077,0.286994,0.086628,25196.730000,28603.170000,65763.640000,33228.030000,33123.470000
2020-05-04,-11873.921010,-19859.006977,-86715.773296,142044.012027,-52497.237922,0.848220,0.672867,0.475287,0.283871,0.088946,20880.930000,27466.720000,72143.810000,35895.500000,40518.410000
2020-05-05,20526.607992,10146.025547,14828.852546,-4642.013181,-41051.432042,0.848220,0.672867,0.475287,0.283871,0.088946,20880.930000,27466.720000,72143.810000,35895.500000,40518.410000
2020-05-06,35727.320963,16361.433559,22791.570221,-366.647834,-70749.729327,0.848220,0.672867,0.475287,0.283871,0.088946,20880.930000,27466.720000,72143.810000,35895.500000,40518.410000
2020-05-07,6035.575957,756.252826,-36515.443237,-980.519113,41883.372348,0.848220,0.672867,0.475287,0.283871,0.088946,20880.930000,27466.720000,72143.810000,35895.500000,40518.410000
2020-05-11,5124.712457,18467.219162,-7434.061238,-25058.076048,4672.640265,0.848220,0.672867,0.475287,0.283871,0.088946,20880.930000,27466.720000,72143.810000,35895.500000,40518.410000
2020-05-12,5939.488701,14120.934763,10590.517157,-9653.106144,9992.201929,0.848220,0.672867,0.475287,0.283871,0.088946,20880.930000,27466.720000,72143.810000,35895.500000,40518.410000
2020-05-13,-853047.681697,-634851.438013,523836.283112,-35741.115554,1042056.045638,0.848220,0.672867,0.475287,0.283871,0.088946,20880.930000,27466.720000,72143.810000,35895.500000,40518.410000
2020-05-14,-979798.301276,-672327.483161,623763.240001,-268.611484,1172268.222325,0.848220,0.672867,0.475287,0.283871,0.088946,20880.930000,27466.720000,72143.810000,35895.500000,40518.410000
2020-05-18,-1428128.008719,-407535.089414,674910.695767,-16247.619581,1267092.972650,0.848220,0.672867,0.475287,0.283871,0.088946,20880.930000,27466.720000,72143.810000,35895.500000,40518.410000
2020-05-19,-500561.412938,-43649.739595,163837.217108,16080.886215,352298.167274,0.848220,0.672867,0.475287,0.283871,0.088946,20880.930000,27466.720000,72143.810000,35895.500000,40518.410000
